center_x,center_y,Hanrei_N,Shoku_N,Dai_N,Chu_N,Sai_N
15055700.43597825,4130448.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4130548.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4130648.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,落葉広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15055700.43597825,4130748.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,市街地等,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4130848.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,市街地等,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4130948.1871701297,モチツツジ−アカマツ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,モチツツジ−アカマツ群集
15055700.43597825,4131048.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131148.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131248.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131348.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,落葉広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15055700.43597825,4131448.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,落葉広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15055700.43597825,4131548.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131648.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131748.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑針葉樹二次林,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131848.1871701297,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,市街地等,アカマツ群落,アベマキ−コナラ群集
15055700.43597825,4131948.1871701297,アベマキ−コナラ群集,その他,市街地等,市街地,アベマキ−コナラ群集
15055700.43597825,4132048.1871701297,モチツツジ−アカマツ群集,その他,市街地等,アカマツ群落,モチツツジ−アカマツ群集
15055700.43597825,4132148.1871701297,市街地,その他,市街地等,市街地,緑の多い住宅地
15055700.43597825,4132248.1871701297,スギ・ヒノキ・サワラ植林,その他,市街地等,アカマツ群落,モチツツジ−アカマツ群集
