center_x,center_y,Hanrei_N,Shoku_N,Dai_N,Chu_N,Sai_N
15041786.883330362,4119164.207339039,市街地,その他,市街地等,市街地,
15041786.883330362,4119264.207339039,市街地,その他,市街地等,市街地,
15041786.883330362,4119364.207339039,シイ・カシ二次林,その他,市街地等,シイ・カシ二次林,
15041786.883330362,4119464.207339039,シイ・カシ二次林,その他,市街地等,シイ・カシ二次林,
15041786.883330362,4119564.207339039,シイ・カシ二次林,ヤブツバキクラス域代償植生,常緑広葉樹二次林,アカマツ群落,モチツツジ−アカマツ群集
15041786.883330362,4119664.207339039,シイ・カシ二次林,ヤブツバキクラス域代償植生,常緑広葉樹二次林,アカマツ群落,モチツツジ−アカマツ群集
15041786.883330362,4119764.207339039,シイ・カシ二次林,ヤブツバキクラス域代償植生,常緑広葉樹二次林,シイ・カシ二次林,モチツツジ−アカマツ群集
15041786.883330362,4119864.207339039,シイ・カシ二次林,ヤブツバキクラス域代償植生,常緑広葉樹二次林,アカマツ群落,モチツツジ−アカマツ群集
15041786.883330362,4119964.207339039,シイ・カシ二次林,ヤブツバキクラス域代償植生,常緑広葉樹二次林,シイ・カシ二次林,
15041786.883330362,4120064.207339039,シイ・カシ二次林,その他,市街地等,シイ・カシ二次林,
15041786.883330362,4120164.207339039,市街地,その他,市街地等,市街地,
15041786.883330362,4120264.207339039,アベマキ−コナラ群集,その他,市街地等,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4120364.207339039,アベマキ−コナラ群集,その他,市街地等,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4120464.207339039,市街地,その他,市街地等,市街地,
15041786.883330362,4120564.207339039,市街地,その他,市街地等,市街地,
15041786.883330362,4120664.207339039,アベマキ−コナラ群集,その他,市街地等,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4120764.207339039,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,落葉広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4120864.207339039,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4120964.207339039,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4121064.207339039,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,常緑広葉樹二次林,コナラ群落,アベマキ−コナラ群集
15041786.883330362,4121164.207339039,アベマキ−コナラ群集,ヤブツバキクラス域代償植生,市街地等,アカマツ群落,アベマキ−コナラ群集
15041786.883330362,4121264.207339039,水田雑草群落,ヤブツバキクラス域代償植生,耕作地,水田雑草群落,アベマキ−コナラ群集
15041786.883330362,4121364.207339039,モチツツジ−アカマツ群集,植林地、耕作地植生,耕作地,アカマツ群落,モチツツジ−アカマツ群集
15041786.883330362,4121464.207339039,市街地,植林地、耕作地植生,耕作地,市街地,
15041786.883330362,4121564.207339039,モチツツジ−アカマツ群集,その他,市街地等,アカマツ群落,モチツツジ−アカマツ群集
