Time_String,Elapsed_Sec,Ign1_X,Ign1_Y,Ign2_X,Ign2_Y,Ign3_X,Ign3_Y
18:02:53.00,0.0,,,526490.603,3378194.633,,
18:02:54.00,1.0,,,526489.110,3378193.563,,
18:02:55.00,2.0,,,526487.540,3378192.576,,
18:02:56.00,3.0,526213.061,3378456.597,526485.771,3378192.081,,
18:02:57.00,4.0,526212.353,3378455.322,526484.184,3378191.145,,
18:02:58.00,5.0,526211.751,3378453.921,526482.586,3378190.212,,
18:02:59.00,6.0,526211.283,3378452.471,526480.842,3378189.597,,
18:03:00.00,7.0,526210.602,3378451.106,526479.006,3378189.433,,
18:03:01.00,8.0,526209.832,3378449.789,526477.360,3378188.719,,
18:03:02.00,9.0,526208.959,3378448.548,526475.895,3378187.584,,
18:03:03.00,10.0,526207.879,3378447.469,526474.343,3378186.575,,
18:03:04.00,11.0,526206.819,3378446.373,526472.815,3378185.526,,
18:03:05.00,12.0,526206.029,3378445.069,526471.191,3378184.673,,
18:03:06.00,13.0,526205.497,3378443.644,526469.406,3378184.174,,
18:03:07.00,14.0,526205.124,3378442.168,526467.564,3378184.049,,
18:03:08.00,15.0,526204.655,3378440.718,526465.708,3378184.045,,
18:03:09.00,16.0,526204.379,3378439.220,526463.860,3378184.201,,
18:03:10.00,17.0,526203.979,3378437.758,526462.069,3378183.775,,
18:03:11.00,18.0,526203.254,3378436.422,526460.535,3378182.770,,
18:03:12.00,19.0,526202.311,3378435.227,526458.984,3378181.764,,
18:03:13.00,20.0,526201.370,3378434.027,526457.483,3378180.709,,
18:03:14.00,21.0,526200.473,3378432.793,526456.139,3378179.431,,
18:03:15.00,22.0,526199.643,3378431.513,526454.944,3378178.035,,
18:03:16.00,23.0,526198.844,3378430.214,526453.820,3378176.564,,
18:03:17.00,24.0,526198.044,3378428.914,526452.609,3378175.158,,
18:03:18.00,25.0,526197.200,3378427.643,526451.398,3378173.752,,
18:03:19.00,26.0,526196.285,3378426.430,526450.071,3378172.471,,
18:03:20.00,27.0,526195.533,3378425.176,526448.552,3378171.408,,
